Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,Alphabet_Scalar,Include 0,Retain_rate,Seed,Author
alexnet,ILSVRC2012,128,0.56522,0.47438,0.79066,0.7243,4,8.5,True,0.25,0,Yixuan
alexnet,ILSVRC2012,512,0.56522,0.52102,0.79066,0.76266,4,8.5,True,0.25,0,Yixuan
alexnet,ILSVRC2012,1024,0.56522,0.53624,0.79066,0.77146,4,8.5,True,0.25,0,Yixuan
alexnet,ILSVRC2012,1024,0.56522,0.5427,0.79066,0.7776,5,8.5,True,0.25,0,Yixuan
alexnet,ILSVRC2012,2048,0.56522,0.54646,0.79066,0.77996,5,8.5,True,0.25,0,Yixuan
alexnet,ILSVRC2012,64,56.522,0.4133,79.066,0.674,5,8.5,True,0.25,0,Yixuan
vgg16,ILSVRC2012,256,71.592,0.66396,90.382,0.87468,3,8.5,True,0.25,0,Yixuan
vgg16,ILSVRC2012,32,71.592,0.00122,90.382,0.00558,1,7.5,True,0.25,0,Yixuan
vgg16,ILSVRC2012,64,71.592,0.00132,90.382,0.00742,1,7.5,True,0.25,0,Yixuan
vgg16,ILSVRC2012,128,71.592,0.00448,90.382,0.0223,1,7.5,True,0.25,0,Yixuan
vgg16,ILSVRC2012,256,71.592,0.00962,90.382,0.04104,1,7.5,True,0.25,0,Yixuan
vgg16,ILSVRC2012,256,71.592,0.5919,90.382,0.83638,2,7.5,True,0.25,0,Yixuan
vgg16,ILSVRC2012,512,71.592,0.69034,90.382,0.8899,3,7.5,True,0.25,0,Yixuan
vgg16,ILSVRC2012,256,71.592,0.677,90.382,0.88404,3,7.5,True,0.25,0,Yixuan
vgg16,ILSVRC2012,128,71.592,0.66302,90.382,0.87642,3,7.5,True,0.25,0,Yixuan
vgg16,ILSVRC2012,64,71.592,0.61988,90.382,0.85082,3,7.5,True,0.25,0,Yixuan
vgg16,ILSVRC2012,32,71.592,0.413,90.382,0.70234,3,7.5,True,0.25,0,Yixuan
