Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,Alphabet_Scalar,Percentile,Include 0,Retain_rate,Seed,Author
alexnet,ILSVRC2012,32,0.56522,0.37166,0.79066,0.63536,5,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,64,0.56522,0.49222,0.79066,0.73924,5,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,128,0.56522,0.53276,0.79066,0.76896,5,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.54472,0.79066,0.7779,5,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,512,0.56522,0.55238,0.79066,0.78184,5,1.1,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,64,0.71592,0.59418,0.90382,0.83696,3,1.25,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,32,0.71592,0.43104,0.90382,0.71364,3,1.0,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,32,0.71592,0.39032,0.90382,0.67728,3,1.05,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,32,0.71592,0.46448,0.90382,0.74252,3,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,32,0.71592,0.4615,0.90382,0.7397,3,0.95,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,256,0.71592,0.68414,0.90382,0.88816,3,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,512,0.71592,0.69666,0.90382,0.89326,3,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,64,0.71592,0.62554,0.90382,0.85456,3,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,128,0.71592,0.67738,0.90382,0.88114,3,0.975,1.0,True,0.25,0,Yixuan
