Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Include 0,Retain_rate,Seed,Author
mobilenet_v2,ILSVRC2012,128,0.71878,0.62662,0.90286,0.85006,5,1.5,1.5,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.59972,0.90286,0.83278,5,1.3,1.3,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.60866,0.90286,0.83898,5,1.4,1.4,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.6185,0.90286,0.84994,5,1.6,1.6,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.61624,0.90286,0.84452,5,1.7,1.7,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.4098,0.90286,0.69042,5,1,1,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.47418,0.90286,0.74552,5,1.1,1.1,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.5466,0.90286,0.79768,5,1.2,1.2,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.63726,0.90286,0.8581,5,1.8,1.8,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.6312,0.90286,0.8563,5,1.9,1.9,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.6375,0.90286,0.85734,5,2.0,2.0,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.62874,0.90286,0.85164,5,2.1,2.1,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.6337,0.90286,0.85912,5,1.75,1.75,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.63008,0.90286,0.8555,5,1.76,1.76,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.6562,0.90286,0.869,5,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.6442,0.90286,0.86278,5,1.78,1.78,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.64806,0.90286,0.86672,5,1.79,1.79,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.62684,0.90286,0.85328,5,1.81,1.81,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.61296,0.90286,0.8441,5,1.47,1.47,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.60836,0.90286,0.8408,5,1.48,1.48,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.60342,0.90286,0.83792,5,1.49,1.49,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.63226,0.90286,0.85228,5,1.51,1.51,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.62978,0.90286,0.85226,5,1.52,1.52,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.61598,0.90286,0.84496,5,1.53,1.53,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.60672,0.90286,0.83896,5,1.54,1.54,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.6145,0.90286,0.84528,5,1.95,1.95,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.61764,0.90286,0.8474,5,1.96,1.96,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.63872,0.90286,0.85832,5,1.97,1.97,1.0,1.0,True,0.25,0,Yixuan
