Model Name,Dataset,Quantization Batch Size,Bias Correction Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Include 0,Retain_rate,Seed,Author
resnet18,ILSVRC2012,2048,2048,0.69758,0.65802,0.89078,0.8704,3,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,2048,2048,0.69758,0.68144,0.89078,0.8809,4,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,2048,2048,0.69758,0.6905,0.89078,0.88644,5,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,2048,4096,0.69758,0.65802,0.89078,0.87066,3,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,2048,4096,0.69758,0.6814,0.89078,0.88106,4,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,2048,4096,0.69758,0.69046,0.89078,0.88652,5,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,2048,1024,0.69758,0.6584,0.89078,0.87056,3,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,2048,1024,0.69758,0.68168,0.89078,0.88094,4,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,2048,1024,0.69758,0.69022,0.89078,0.88634,5,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,2048,512,0.69758,0.65822,0.89078,0.87068,3,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,2048,512,0.69758,0.68152,0.89078,0.88086,4,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,2048,512,0.69758,0.6908,0.89078,0.88634,5,1.16,1.16,1.0,1.0,True,0.25,0,Yixuan
resnet50,ILSVRC2012,256,1024,0.7613,0.62632,0.92862,0.85798,3,1.81,1.0,1.0,1.0,True,0.25,0,Yixuan
resnet50,ILSVRC2012,256,4096,0.7613,0.62628,0.92862,0.85802,3,1.81,1.0,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,256,4096,0.7613,0.62632,0.92862,0.8581,3,1.81,1.0,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,4096,0.7613,0.75236,0.92862,0.9267,5,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,4096,0.7613,0.70828,0.92862,0.90336,3,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,4096,0.7613,0.7422,0.92862,0.92092,4,1.81,1.81,1.0,1.0,True,0.25,2,Yixuan
resnet50,ILSVRC2012,1024,4096,0.7613,0.75218,0.92862,0.92686,5,1.81,1.81,1.0,1.0,True,0.25,2,Yixuan
resnet50,ILSVRC2012,1024,4096,0.7613,0.70844,0.92862,0.90348,3,1.81,1.81,1.0,1.0,True,0.25,2,Yixuan
resnet50,ILSVRC2012,1024,2048,0.7613,0.74242,0.92862,0.92094,4,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,2048,0.7613,0.75228,0.92862,0.92686,5,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,2048,0.7613,0.70848,0.92862,0.9035,3,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,1024,0.7613,0.74194,0.92862,0.92106,4,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,1024,0.7613,0.75234,0.92862,0.92662,5,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
vgg16,ILSVRC2012,512,2048,0.71592,0.70968,0.90382,0.90102,5,0.975,1.0,1.0,1.0,True,0.25,1,Yixuan
vgg16,ILSVRC2012,512,2048,0.71592,0.70708,0.90382,0.89974,4,0.975,1.0,1.0,1.0,True,0.25,1,Yixuan
vgg16,ILSVRC2012,512,2048,0.71592,0.69674,0.90382,0.8932,3,0.975,1.0,1.0,1.0,True,0.25,1,Yixuan
vgg16,ILSVRC2012,512,1024,0.71592,0.70948,0.90382,0.90086,5,0.975,1.0,1.0,1.0,True,0.25,1,Yixuan
vgg16,ILSVRC2012,512,1024,0.71592,0.70724,0.90382,0.89948,4,0.975,1.0,1.0,1.0,True,0.25,1,Yixuan
vgg16,ILSVRC2012,512,1024,0.71592,0.69698,0.90382,0.8933,3,0.975,1.0,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,2048,0.56522,0.5516,0.79066,0.78194,4,1.1,1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,2048,0.56522,0.53168,0.79066,0.76962,3,1.1,1.0,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,2048,0.56522,0.55664,0.79066,0.7873,5,1.1,1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,1024,0.56522,0.5516,0.79066,0.7819,4,1.1,1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,1024,0.56522,0.532,0.79066,0.7696,3,1.1,1.0,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,1024,0.56522,0.55652,0.79066,0.78694,5,1.1,1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,4096,0.56522,0.5515,0.79066,0.78212,4,1.1,1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,4096,0.56522,0.53214,0.79066,0.76962,3,1.1,1.0,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,4096,0.56522,0.55652,0.79066,0.78728,5,1.1,1,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,512,2048,0.69758,0.67768,0.89078,0.8802,4,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,2048,0.69758,0.69072,0.89078,0.88644,5,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,1024,0.69758,0.69068,0.89078,0.88628,5,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,4096,0.69758,0.69048,0.89078,0.88628,5,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,2048,0.69758,0.68752,0.89078,0.88476,4,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,1024,0.69758,0.6876,0.89078,0.88482,4,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,4096,0.69758,0.68766,0.89078,0.88464,4,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
