Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Include 0,Retain_rate,Seed,Author
mobilenet_v2,ILSVRC2012,1024,0.71878,0.69042,0.90286,0.8893,5,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,512,0.71878,0.6879,0.90286,0.887,5,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,256,0.71878,0.6718,0.90286,0.8797,5,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.63886,0.90286,0.85874,5,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,64,0.71878,0.52746,0.90286,0.78326,5,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,32,0.71878,0.07842,0.90286,0.22916,5,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,2048,0.71878,0.69392,0.90286,0.89142,5,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,1024,0.71878,0.62678,0.90286,0.84868,4,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,512,0.71878,0.5967,0.90286,0.8319,4,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,256,0.71878,0.55852,0.90286,0.80476,4,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.42722,0.90286,0.70156,4,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,64,0.71878,0.19406,0.90286,0.43496,4,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,32,0.71878,0.03606,0.90286,0.1244,4,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,256,0.71878,0.55852,0.90286,0.80476,4,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.42722,0.90286,0.70156,4,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,64,0.71878,0.19406,0.90286,0.43496,4,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,32,0.71878,0.03606,0.90286,0.1244,4,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,2048,0.71878,0.70674,0.90286,0.89848,6,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,1024,0.71878,0.70224,0.90286,0.89572,6,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,512,0.71878,0.70578,0.90286,0.896,6,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,256,0.71878,0.69294,0.90286,0.89098,6,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,128,0.71878,0.67858,0.90286,0.88296,6,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,64,0.71878,0.58788,0.90286,0.82768,6,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,32,0.71878,0.05862,0.90286,0.19642,6,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
mobilenet_v2,ILSVRC2012,2048,0.71878,0.63894,0.90286,0.8573,4,1.77,1.77,1.0,1.0,True,0.25,0,Yixuan
