Model Name,Dataset,Quantization Batch Size,Bias Correction Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Include 0,Retain_rate,Seed,Author
vgg16,ILSVRC2012,512,2048,0.71592,0.70242,0.90382,0.89578,3,0.975,0.975,1.0,1.0,True,0.25,1,Yixuan
vgg16,ILSVRC2012,512,2048,0.71592,0.71054,0.90382,0.90088,5,0.975,0.975,1.0,1.0,True,0.25,1,Yixuan
vgg16,ILSVRC2012,512,2048,0.71592,0.70904,0.90382,0.90046,4,0.975,0.975,1.0,1.0,True,0.25,1,Yixuan
vgg16,ILSVRC2012,512,1024,0.71592,0.70234,0.90382,0.89588,3,0.975,0.975,1.0,1.0,True,0.25,1,Yixuan
vgg16,ILSVRC2012,512,1024,0.71592,0.71052,0.90382,0.90092,5,0.975,0.975,1.0,1.0,True,0.25,1,Yixuan
vgg16,ILSVRC2012,512,1024,0.71592,0.70882,0.90382,0.90036,4,0.975,0.975,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,2048,0.56522,0.55938,0.79066,0.78704,5,1.1,1.1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,2048,0.56522,0.55494,0.79066,0.78516,4,1.1,1.1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,2048,0.56522,0.54736,0.79066,0.77834,3,1.1,1.1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,1024,0.56522,0.55938,0.79066,0.7874,5,1.1,1.1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,1024,0.56522,0.55534,0.79066,0.78504,4,1.1,1.1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,1024,0.56522,0.5477,0.79066,0.7781,3,1.1,1.1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,4096,0.56522,0.55932,0.79066,0.78706,5,1.1,1.1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,4096,0.56522,0.55508,0.79066,0.7852,4,1.1,1.1,1.0,1.0,True,0.25,1,Yixuan
alexnet,ILSVRC2012,2048,4096,0.56522,0.54754,0.79066,0.77826,3,1.1,1.1,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,2048,0.7613,0.74336,0.92862,0.92122,4,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,2048,0.7613,0.7525,0.92862,0.92648,5,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,2048,0.7613,0.70634,0.92862,0.90192,3,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,1024,0.7613,0.7432,0.92862,0.92118,4,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,1024,0.7613,0.7526,0.92862,0.9263,5,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet50,ILSVRC2012,1024,1024,0.7613,0.70594,0.92862,0.9019,3,1.81,1.81,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,2048,0.69758,0.66934,0.89078,0.87434,3,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,2048,0.69758,0.68498,0.89078,0.88272,4,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,2048,0.69758,0.69182,0.89078,0.88698,5,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,1024,0.69758,0.6694,0.89078,0.87428,3,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,1024,0.69758,0.68488,0.89078,0.88266,4,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,1024,0.69758,0.69192,0.89078,0.88706,5,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,4096,0.69758,0.66952,0.89078,0.87418,3,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,4096,0.69758,0.68512,0.89078,0.88274,4,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
resnet18,ILSVRC2012,2048,4096,0.69758,0.69178,0.89078,0.88698,5,1.16,1.16,1.0,1.0,True,0.25,1,Yixuan
